Serial,Time,Username,Observer,Tree ID,Date,Date,Julian,Season,Species,Latitude,Longitude,Urbanization,Habitat,Shading,Circumference,LeafColor,LeafDropping,Fruit,LeafBud,LeafUnfurled,Flowering,Damage,Comments
88,09/11/2014 - 10:29am,,,,9/11/14,9/11/14,,Fall,Red Maple,,,No,School paved area,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Middle:  Many leaves have dropped,Late:  Most or all fruits or seeds have been dispersed from tree (over 90%),,,,NONE,
89,09/15/2014 - 10:00am,,,,9/15/14,9/15/14,,Fall,Red Maple,,,Yes,School paved area,Open (more than 5hr per day of direct sun),,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,Middle:  Many fruits are ripe,,,,We observed black seeds on the leaves. ,
90,09/15/2014 - 10:39am,,,,9/15/14,9/15/14,,Fall,Red Maple,,,Yes,School paved area,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,deep scrapes ,"very little

"
91,09/15/2014 - 10:39am,,,,9/15/14,9/15/14,,Fall,Red Maple,,,Yes,School paved area,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,crack on side insect damage,
92,09/15/2014 - 10:39am,,,,9/15/14,9/15/14,,Fall,Red Maple,,,Yes,School paved area,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Middle:  Many leaves have dropped,Early:  Only a few ripe fruits are visible (less than 10%),,,,Our tree has cracks. ,Jake is so cool!!
93,09/11/2014 - 10:24am,,,,9/11/14,9/11/14,,Fall,Silver Maple,,,No,School paved area,Open (more than 5hr per day of direct sun),,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,Late:  Most or all fruits or seeds have been dispersed from tree (over 90%),,,,A gap on one side of the tree. ,
94,09/11/2014 - 10:24am,,,,9/11/14,9/11/14,,Fall,Silver Maple,,,Yes,School paved area,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,None,
95,09/11/2014 - 10:26am,,,,9/11/14,9/11/14,,Fall,Silver Maple,,,Yes,School paved area,Open (more than 5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),Late:  Most or all fruits or seeds have been dispersed from tree (over 90%),,,,crack,
96,09/11/2014 - 10:36am,,,,9/11/14,9/11/14,,Fall,Silver Maple,,,Yes,School paved area,Open (more than 5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),Late:  Most or all fruits or seeds have been dispersed from tree (over 90%),,,,none that are visible,
97,09/11/2014 - 10:39am,,,,9/11/14,9/11/14,,Fall,Silver Maple,,,Yes,School paved area,Open (more than 5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,None ,
98,09/15/2014 - 10:40am,,,,9/15/14,9/15/14,,Fall,Silver Maple,,,Yes,School paved area,Open (more than 5hr per day of direct sun),,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,Some split bark.,
99,09/15/2014 - 10:40am,,,,9/15/14,9/15/14,,Fall,Silver Maple,,,Yes,School paved area,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,Some split bark.,Nature is AWESOME!!!<3
100,09/15/2014 - 10:40am,,,,9/15/14,9/15/14,,Fall,Silver Maple,,,Yes,School paved area,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Some split bark.,
101,09/11/2014 - 10:25am,,,,9/11/14,9/11/14,,Fall,Red Maple,,,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,cracks in bark under limbs,
102,09/11/2014 - 10:25am,,,,9/11/14,9/11/14,,Fall,Red Maple,,,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Cracks in the bark.,
103,09/11/2014 - 10:25am,,,,9/11/14,9/11/14,,Fall,Red Maple,,,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
104,09/15/2014 - 10:39am,,,,9/15/14,9/15/14,,Fall,Red Maple,,,No,School lawn,Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,None,we named our tree bob
105,09/11/2014 - 10:24am,,,,9/11/14,9/11/14,,Fall,Silver Maple,,,Yes,School paved area,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,"Septic Sam is its name, Norway maple, dark red leaves

"
106,09/19/2014 - 2:21pm,,,,9/19/14,9/19/14,,Fall,Sugar Maple,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,none,Tree name Eran.
107,09/15/2014 - 1:58pm,,,,9/15/14,9/15/14,,Fall,Norway Maple,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Cacoon,
108,09/15/2014 - 2:08pm,,,,9/15/14,9/15/14,,Fall,Norway Maple,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
109,09/24/2014 - 2:29pm,,,,9/24/14,9/24/14,,Fall,Norway Maple,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
110,09/15/2014 - 2:02pm,,,,9/15/14,9/15/14,,Fall,Red Maple,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,none,
111,01/28/2014 - 3:43pm,,,,1/28/14,1/28/14,,Fall,Sugar Maple,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
112,03/10/2014 - 2:49pm,,,,3/10/14,3/10/14,,Fall,Sugar Maple,,,Yes,Home lawn,Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,"There are 365 days in a year, and I spend 364 days eating and watching youtube. "
113,09/15/2014 - 2:03pm,,,,9/15/14,9/15/14,,Fall,Sugar Maple,,,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
114,09/16/2014 - 8:07am,,,,9/16/14,9/16/14,,Fall,Norway Maple,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,"Cut Limbs, Blueish greenish squishy stuff",
115,09/16/2014 - 8:09am,,,,9/16/14,9/16/14,,Fall,Norway Maple,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Missing a few limbs,
116,09/16/2014 - 8:10am,,,,9/16/14,9/16/14,,Fall,Red Maple,,,Yes,School paved area,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,the leaves have a deises,
117,09/15/2014 - 3:40pm,,,,9/15/14,9/15/14,,Fall,Sugar Maple,,,Yes,Home lawn,Partially Shaded (2-5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
118,10/23/2014 - 2:32pm,,,,10/23/14,10/23/14,,Fall,Norway Maple,,,Yes,Home lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,Babe Ruth (Brandon and Zackery comments)
119,09/18/2014 - 11:27am,,,,9/18/14,9/18/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,1 broken branch,
120,09/18/2014 - 11:28am,,,,9/18/14,9/18/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,1 broken branch,gets really good shade nice ad cool
121,09/19/2014 - 2:17pm,,,,9/19/14,9/19/14,,Fall,Norway Maple,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,No diseases or damages on my tree.,"big tree

"
122,09/19/2014 - 2:17pm,,,,9/19/14,9/19/14,,Fall,Norway Maple,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,insect damage,
123,09/19/2014 - 2:19pm,,,,9/19/14,9/19/14,,Fall,Norway Maple,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Middle: Many leaves have turned color,Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,"Fungi, Other tree growing on it.",
124,09/19/2014 - 2:19pm,,,,9/19/14,9/19/14,,Fall,Norway Maple,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,,
125,09/19/2014 - 2:20pm,,,,9/19/14,9/19/14,,Fall,Norway Maple,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,Black spots on leaves,
126,09/19/2014 - 2:20pm,,,,9/19/14,9/19/14,,Fall,Norway Maple,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Black spots on leaves,
127,09/19/2014 - 2:20pm,,,,9/19/14,9/19/14,,Fall,Norway Maple,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,rot  broken limb ,
128,09/19/2014 - 2:25pm,,,,9/19/14,9/19/14,,Fall,Norway Maple,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,had dead limbs,
129,09/19/2014 - 2:29pm,,,,9/19/14,9/19/14,,Fall,Red Maple,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,brown spots on leaves ,
130,09/19/2014 - 2:24pm,,,,9/19/14,9/19/14,,Fall,Silver Maple,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Middle: Many leaves have turned color,Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,,nope 
131,09/19/2014 - 2:22pm,,,,9/19/14,9/19/14,,Fall,Sugar Maple,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,black spots on leaves,
132,09/18/2014 - 8:35am,,,,9/18/14,9/18/14,,Fall,Sugar Maple,,,No,City or Community Park (developed),Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,None,
133,09/18/2014 - 11:40am,,,,9/18/14,9/18/14,,Fall,Red Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,There were many ants on the tree.
134,09/18/2014 - 11:26am,,,,9/18/14,9/18/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
135,09/18/2014 - 11:27am,,,,9/18/14,9/18/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,NONE
136,09/18/2014 - 11:27am,,,,9/18/14,9/18/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,"Pretty Healthy

Unsure of the black seeds

Cracks in our tree"
137,09/18/2014 - 11:27am,,,,9/18/14,9/18/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,"Tallest tree in the area,Very healthy, And a memorial tree"
138,09/18/2014 - 11:27am,,,,9/18/14,9/18/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
